MITI,NANDU,MIGE,TISHI,JIEMI,MIDI,FAYIN,JIESHI,ZAOJU
息,5,灯谜,根据字的拆分以及结构联想、合成,息字拆为自、心，低首下心即息字,低首下心,dī shǒu xià xīn,首：头；下心：屈服于人。形容屈服顺从。,就照在青云山口似悬河的那派谈锋，也不愁姑娘不～的诚服首肯。（清·文康《儿女英雄传》第二十五回）
原价,4,灯谜,根据谜题字词别意以及近义联想,既然是原价，那自然是不折不扣啦,不折不扣,bù zhé bù kòu,折、扣：出售商品时，按定价减去的成数。没有折扣，表示完全、十足的意思。,如今的妇女跟男人～一样尊贵！（老舍《女店员》第二幕）
眨眼打呵欠,2,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,扬眉吐气,yáng méi tǔ qì,扬起眉头，吐出怨气。形容摆脱了长期受压状态后高兴痛快的样子。,只要将来做了八府巡按，妈也就可以～了。（巴金《家》十二）
偷拿同行日记,6,谜语·灯谜,根据谜题字词别称以及别意、近义联想、合成,偷拿解为窃，小偷同行自然是也窃贼，日记解为私人的记录、语录， 可得窃窃私语,窃窃私语,qiè qiè sī yǔ,背地里小声说话。,又故意与行酒侍儿，～，羋氏两次问话，俱失应答。（明·冯梦龙《东周列国志》第四十六回）
游子吟,9,谜语·灯谜,根据诗句以及字词近义、相关义联想、合成,孟郊的歌颂、感激母爱的诗，可以解为寸草春晖,寸草春晖,cùn cǎo chūn huī,寸草：小草；春晖：春天的阳光。小草微薄的心意报答不了春日阳光的深情。比喻父母的恩情，难报万一。,对祖国母亲，我们总怀有～之情。
叹,7,灯谜,根据字的拆分、组合以及相关义联想、合成,叹字可拆为口、又，鸡零可解为又，狗碎可解为口（碎意为取少部分），即得鸡零狗碎,鸡零狗碎,jī líng gǒu suì,形容事物零碎细小。,他见了人就扯些～的事，也不管别人爱听不爱听，有没有时间听。
只有香如故,7,谜语·灯谜,根据诗句以及字词近义、相关义联想、合成,只有香气依旧，经久不变，可以解为流芳百世,流芳百世,liú fāng bǎi shì,好的名声永远流传下去。,将军若扶汉室，乃忠臣也，青史传名，～。（明·罗贯中《三国演义》第九回）
请客不做菜,2,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,空头人情,kōng tóu rén qíng,虚假的情意,高阳《胡雪岩全传·平步青云》上册：“我不见你这个～。你自己说一句，到底愿意不愿意呢。”
甬,4,灯谜,根据字的拆分以及结构联想、合成,俑字拆为人、甬，始作即人，于是可解为始作俑者,始作俑者,shǐ zuò yǒng zhě,俑：古代殉葬用的木制或陶制的俑人。开始制作俑的人。比喻首先做某件坏事的人。,北镇抚司狱廷杖立枷诸制，此秦法所未有，～，罪可胜道哉！（清·张潮《虞初新志·姜贞毅先生传》）
项羽砸锅,2,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,破釜沉舟,pò fǔ chén zhōu,比喻下决心不顾一切地干到底。,只要我们有～的决心，就能克服学习上的各种困难。
枥,6,灯谜,根据字的拆分以及结构联想、合成,枥字可拆为木、历，变本加厉即将本字的横加到历字上成为枥字,变本加厉,biàn běn jiā lì,厉：猛烈。指比原来更加发展。现指情况变得比本来更加严重。,断句取义是在一句两句里拉出一个两个字来发挥，比起断章取义，真是～了。（朱自清《经典常谈·诗经第四》）
瞎猫逮死耗子,3,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,歪打正着,wāi dǎ zhèng zháo,比喻方法本来不恰当，却侥幸得到满意的结果。也比喻原意本不在此，却凑巧和别人的想法符合。,这一脚他是倒地才踢出去的，可是～，守门员还没反应过来球已直飞网心。
猴子,6,谜语·灯谜,根据人物别称以及字词近义联想、合成,猴子可以解为孙悟空，孙悟空特点自然是人面兽心了,人面兽心,rén miàn shòu xīn,面貌虽然是人，但心肠象野兽一样凶狠。形容为人凶残卑鄙。,大虫见了“兽面人心”的既不敢伤，若见了“～”的如何不啖。（清·李汝珍《镜花缘》第十回）
玄德服药,10,灯谜,根据人物名字以及引申义联想、合成,玄德即刘备，服可解为尝，药可以联想到辛、苦，可解为备尝辛苦,备尝辛苦,bèi cháng xīn kǔ,备：尽、全。尝：经历。受尽了艰难困苦。,清·严复《浮生六记》第三卷：“车重人多，毙马折轮，～。”
床底下吹喇叭,3,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,低声下气,dī shēng xià qì,形容说话和态度卑下恭顺的样子。,宝玉背地里拉着他，～，要问黛玉的话，紫娟从没好话回答。（清·曹雪芹《红楼梦》第一００回）
铁叉捕鱼,6,谜语·灯谜,根据所描述事情的结果联想、合成,铁叉捕鱼时候，肯定是要刺到鱼身上，这样鱼就会到处都是伤，解为遍体鳞伤,遍体鳞伤,biàn tǐ lín shāng,浑身受伤，伤痕象鱼鳞一样密。形容受伤很重。,打的～，着实走不动了。（清·吴趼人《痛史》第六回）
老丈人,4,脱靴格,根据谜题字词别意以及近义联想、合成,老是丈量别人，也就是自己不量自己，即自不量，由于脱靴格，加上“力”字可得自不量力,自不量力,zì bù liàng lì,量：估量。自己不估量自己的能力。指过高地估计自己的力量。,就说我们殿试都是侥幸名列上等，并非真才实学，何敢～，妄自谈文。（《镜花缘》第八十七回）
腹泻,3,谜语,根据谜题意思联想,河鱼腹疾就是指的腹泻,河鱼腹疾,hé yú fù jí,指腹泻。,他今天～，无法来上课了。
不倒翁得相思病,2,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,坐卧不宁,zuò wò bù níng,坐着躺着都不安宁。常形容心绪烦乱。,那劣绅不知何日要戴高帽子，每日在家放心不下，～。毛泽东《湖南农民运动考察报告》
缝钮子,2,谜语·灯谜,根据所描述事情所产生的景象联想,也就是用丝线缝制扣子，解为丝丝入扣,丝丝入扣,sī sī rù kòu,丝丝：每一根丝；扣：织机上的主要机件之一。织布时每条丝线都要从筘齿间穿过。比喻做得十分细致，有条不紊，一一合拍。,这个小品的情节安排得～，收到了较好的艺术效果。
醉汉驾车,6,谜语·灯谜,根据所描述事情的结果联想、合成,喝醉了驾车肯定是不受控制，横冲直撞了,横冲直撞,héng chōng zhí zhuàng,乱冲乱撞，蛮横无理。,只见三妖全身甲胄，～，左右厮杀。（明·许仲琳《封神演义》第九十六回）
高喊生病了,3,掉尾格,根据谜题字词近义联想、合成,高喊可以解为大声呼喊，生病了解为疾，即得大声呼疾，由于掉尾格，可得大声疾呼,大声疾呼,dà shēng jí hū,疾：快。大声呼喊，引起人们注意。,我们可以～，而不要隐晦曲折，使人民大众不易看懂。（毛泽东《在延安文艺座谈会上的讲话》）
工于歌谣,5,灯谜,根据字的拆分、组合以及字词近义联想、合成,空字可拆为上下两部，空穴即工，歌谣可解为风，于是可得空穴来风,空穴来风,kōng xuè lái fēng,有了洞穴才进风。比喻消息和谣言的传播不是完全没有原因的。也比喻流言乘机会传开来。,棹摇船掠鬓，风动竹捶胸。虽好事托以成之，亦～之义也。（宋·孙光宪《北梦琐言》卷七）
大孩子,1,谜语,根据谜题意思联想,可解为人长大了，但是像孩子一样，即得童心未泯,童心未泯,tóng xīn wèi mǐn,泯：泯灭。年岁虽大但仍有天真之心。形容成年人还有着孩子的天真。,她真是～啊。
小朋友说悄悄话,5,辘轳格,根据谜题字词别意以及近义联想、合成,小朋友可以解为微人，说悄悄话可以解为轻声言语，即得微人轻言，由于辘轳格，可解得人微言轻,人微言轻,rén wēi yán qīng,地位低，说话不受人重视。,你～，怎么会做过他们？（清·李宝嘉《官场现形记》第三十五回）
出气筒,4,灯谜,根据所描述事物特点联想、合成,既然是出气筒肯定是要挨打受骂了,挨打受骂,ái dǎ shòu mà,挨：遭受。受人打骂与虐待,她在婆家经常～
不摆椅子空设宴,1,掉首格,根据谜题字词近义联想、合成,不摆椅子即无座，空可解为虚，设宴可解为宴席，即无座虚席，由于掉首格，可得座无虚席,座无虚席,zuò wú xū xí,虚：空。座位没有空着的。形容出席的人很多。,中国杂技团在加拿大的每场演出不仅～，而且还得增加数以百计的临时座位。
啄木鸟,4,灯谜,根据动物特点联想、合成,可以想到啄木鸟嘴特别硬，其心肯定是软的，可解为嘴硬心软,嘴硬心软,zuǐ yìng xīn ruǎn,嘴上不服软，心里却认输。指人嘴好强,她是一个～的人
中国,1,谜语·灯谜,根据谜题字词别称联想,赤县神州即中国,赤县神州,chì xiàn shén zhōu,中国的别称。,凭着短剑长琴，游遍～。（元·范子安《竹叶舟》第二折）
穷光蛋,3,谜语,根据谜题意思联想,身无分文有类似意思,身无分文,shēn wú fēn wén,形容非常贫穷。,他北上求职，却遭到扒手扒窃，～，求告无门。
一路货色,4,谜语,根据谜题意思以及近义联想,一丘之貉有类似意思,一丘之貉,yī qiū zhī hè,丘：土山；貉：一种形似狐狸的野兽。一个土山里的貉。比喻彼此同是丑类，没有什么差别。,否塞晦盲，真若～。（严复《救亡决论》）
最胆小的鸟,1,谜语,根据谜题意思联想,该类型谜题根据答案容易得出,惊弓之鸟,jīng gōng zhī niǎo,被弓箭吓怕了的鸟不容易安定。比喻经过惊吓的人碰到一点动静就非常害怕。,那些工头们，个个如～，巴不得赶快飞出车间。
旧书虫,7,掉首格,根据谜题字词近义以及引申义联想、合成,旧解为故，书虫也就是钻进纸堆的虫子，即故钻纸堆，由于掉首格，解得钻故纸堆,钻故纸堆,zuàn gù zhǐ duī,故纸：指古籍。指一味钻研古籍而脱离现实。亦作“钻故纸”、“钻研故纸”。,他成天地～，对于外面的事一点也不知道。
远亲,2,谜语,根据谜题意思联想,葭莩之亲即指远亲,葭莩之亲,jiā fú zhī qīn,葭莩：芦苇杆内壁的薄膜。比喻关系疏远的亲戚。,唐炯是张之洞的大舅子，跟他亦算有～，所以于公于私，他都不能不派人来送信。（高阳《母子君臣》）
称为阿堵物,7,脱帽格,根据谜题字词别称以及近义、相关义联想、合成,称为即名叫，阿堵物即钱的别称，一文为钱的度量，即得名一文，由于脱帽格，冠上不字可解得不名一文,不名一文,bù míng yī wén,名：占有。一个钱也没有。形容极其贫穷。,现在的我～。
负责,6,灯谜,根据谜题字词别意以及近义联想、合成,负解为没有胜利、不胜，责即责任，于是可解为不胜其任,不胜其任,bù shèng qí rèn,胜：能担当。没有能力担当那项重任。,他～，请求辞职
淡妆浓抹总无奇,6,灯谜,根据谜题字词别意以及近义联想、合成,淡妆浓抹解为粉饰，无奇解为太平常，即得粉饰太平,粉饰太平,fěn shì tài píng,粉饰：涂饰表面。把社会黑暗混乱的状况掩饰成太平的景象。,有着～的职责的人们是可原谅的，因为他们也有理由麻木。（闻一多《可怕的冷静》）
抚,6,灯谜,根据字的拆分以及结构联想、合成,抚字可拆为手、无，左右结构，无在手的手边即成抚，于是可解为无出其右,无出其右,wú chū qí yòu,出：超出；右：上，古代以右为尊。没有能超过他的。,此二方专治一切肿毒，初起者速服速消，已溃者亦能败毒收口，大约古人痈疽各方，～了。（清·李汝珍《镜花缘》第三十回）
